II	N	SB	SI	SKIP_W	NN	BB	I	PX	SKIP_X	B	PI	PW	tech	PY	SN	CLOCK	cap_load	fanout_load	in_0	in_1	Internal_Pwr	Switch_Pwr	Leak_Pwr	Total_Pwr	cycles	N	Area	Time
1	2	8	16	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.011	0.00249	1.91E-5	0.0135	86	200	229314.007991	1.63
1	4	8	16	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.0123	0.00287	2.26E-5	0.0152	86	200	275269.384686	2.06
1	8	8	16	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.0161	0.00413	2.88E-5	0.0202	86	200	358386.950358	3.19
1	1	8	2	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00804	0.0108	1.19E-5	0.0189	366	200	140201.66445	0.64
1	2	8	2	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00797	0.0107	1.17E-5	0.0187	366	200	137429.185559	0.65
1	4	8	2	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.0073	0.0101	1.16E-5	0.0175	366	200	136522.136727	0.78
1	8	8	2	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00759	0.0115	1.16E-5	0.0191	366	200	137034.931542	0.93
1	1	8	4	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00293	3.71E-4	1.25E-5	0.00331	206	200	148670.099512	0.82
1	2	8	4	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00256	4.41E-4	1.2E-5	0.00301	206	200	143545.679343	0.87
1	4	8	4	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00261	5.99E-4	1.19E-5	0.00322	206	200	141927.738489	1.04
1	8	8	4	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00247	5.84E-4	1.2E-5	0.00306	206	200	143278.786131	1.46
1	1	8	8	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00459	5.96E-4	1.39E-5	0.0052	126	200	166517.370057	0.99
1	2	8	8	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00379	6.63E-4	1.31E-5	0.00446	126	200	156725.934937	1.1
1	4	8	8	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00355	7.93E-4	1.28E-5	0.00436	126	200	153851.496843	1.57
1	8	8	8	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00386	0.00105	1.3E-5	0.00493	126	200	156465.56852	1.9
1	1	8	16	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00803	0.00128	1.72E-5	0.00932	86	200	206019.328916	1.09
1	2	8	16	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.0065	0.00138	1.56E-5	0.0079	86	200	186816.424273	1.59
1	4	8	16	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00597	0.00154	1.5E-5	0.00753	86	200	181364.605685	2.02
1	8	8	16	1	8	8	1	8	0	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00582	0.00171	1.54E-5	0.00755	86	200	186618.150621	3.44
